epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,87.4091,2.48026,1.71226,1.18866,0.40891,0.59237,0.39858,0.10249,2.42611,1.65801,1.20802,0.00931067,0.00931067,0.00931067
19,92.4032,2.29951,1.89364,1.16538,0.45166,0.51431,0.40248,0.11014,2.41158,1.76483,1.18081,0.00922942,0.00922942,0.00922942
20,97.4483,2.32297,1.87537,1.16163,0.39957,0.53839,0.39994,0.10518,2.53288,2.44115,1.23639,0.00914405,0.00914405,0.00914405
21,102.17,2.32082,1.82612,1.12912,0.43535,0.60389,0.41358,0.11141,2.53456,3.1931,1.19455,0.00905463,0.00905463,0.00905463
22,107.686,2.36804,1.75279,1.14793,0.34943,0.57937,0.42441,0.11312,2.33661,3.18345,1.13506,0.00896127,0.00896127,0.00896127
23,113.119,2.20661,1.67957,1.1105,0.54432,0.55952,0.55747,0.16795,2.42417,1.98493,1.16796,0.00886404,0.00886404,0.00886404
24,118.424,2.45175,1.65215,1.14666,0.50792,0.58333,0.54803,0.17893,2.33301,1.54098,1.12554,0.00876305,0.00876305,0.00876305
25,123.841,2.32138,1.59852,1.15195,0.39124,0.65079,0.52717,0.13892,2.36065,2.99667,1.17724,0.00865839,0.00865839,0.00865839
26,128.445,2.29687,1.61202,1.15118,0.36978,0.6177,0.49009,0.13707,2.50503,1.61978,1.2218,0.00855018,0.00855018,0.00855018
27,133.052,2.38789,1.42704,1.16481,0.33972,0.59524,0.44073,0.12451,2.62113,1.85681,1.20247,0.00843851,0.00843851,0.00843851
28,137.63,2.30598,1.43344,1.13931,0.55883,0.53631,0.53609,0.15866,2.42815,1.98684,1.17325,0.00832349,0.00832349,0.00832349
29,142.221,2.21799,1.50167,1.1047,0.43149,0.52778,0.45389,0.13864,2.3744,1.73152,1.15653,0.00820525,0.00820525,0.00820525
